CCFS_A,CCFS_B,Mud_Diamict,Diamict_only,Al,Ca,Zr,K,Rb,Si,b_star,NGR,MS,Mud_Diamict_code,Diamict_only_code
1.475,1.26,mud,NA,9.2816,3.5659,49.32,1.4471,56.538,35.945,1.4,0.019,49.5,1,1
1.476,1.26,mud,NA,9.2816,3.5659,49.32,1.4471,56.538,35.945,1.4,0.019,49.5,1,1
1.5,1.28,mud,NA,10.039,3.4695,39.225,1.3926,44.529,38.783,1.4,0.019,50.9,1,1
1.5,1.28,mud,NA,10.039,3.4695,39.225,1.3926,44.529,38.783,1.4,0.019,50.9,1,1
1.501,1.28,mud,NA,10.039,3.4695,39.225,1.3926,44.529,38.783,1.4,0.019,50.9,1,1
1.512,1.29,mud,NA,10.039,3.4695,39.225,1.3926,44.529,38.783,1.4,0.02,50.2,1,1
1.525,1.3,mud,NA,10.236,4.1975,49.122,1.6192,55.412,40.575,1.4,0.02,50.2,1,1
1.537,1.31,mud,NA,10.236,4.1975,49.122,1.6192,55.412,40.575,1.4,0.02,48.3,1,1
1.55,1.33,mud,NA,10.252,4.0375,46.644,1.5701,54.764,40.508,-0.1,0.02,50.3,1,1
1.562,1.34,mud,NA,10.252,4.0375,46.644,1.5701,54.764,40.508,0.9,0.02,50.3,1,1
1.575,1.35,mud,NA,8.9391,4.335,52.407,1.5459,56.738,36.074,0.9,0.02,51.9,1,1
1.587,1.36,mud,NA,10.189,4.4822,48.887,1.5612,53.666,39.951,2.4,0.02,51.9,1,1
1.6,1.37,mud,NA,10.189,4.4822,48.887,1.5612,53.666,39.951,2.7,0.02,53.6,1,1
1.612,1.38,mud,NA,9.8271,4.5767,49.619,1.5514,55.01,39.609,2.7,0.02,53.6,1,1
1.625,1.39,mud,NA,9.9146,4.7323,50.47,1.5689,53.985,39.312,3.1,0.02,55,1,1
1.637,1.4,mud,NA,9.9146,4.7323,50.47,1.5689,53.985,39.312,3.1,0.02,55,1,1
1.65,1.41,mud,NA,8.3353,4.8779,56.038,1.5846,60.594,34.584,2.4,0.02,55,1,1
1.662,1.42,mud,NA,8.3353,4.8779,56.038,1.5846,60.594,34.584,2.2,0.02,56.7,1,1
1.675,1.43,mud,NA,9.6045,4.9196,51.62,1.5443,59.416,38.48,2.2,0.02,56.7,1,1
1.687,1.44,mud,NA,9.5869,5.1768,49.376,1.5547,56.612,38.841,1.7,0.02,58,1,1
1.7,1.45,mud,NA,9.5869,5.1768,49.376,1.5547,56.612,38.841,1.7,0.02,58,1,1
1.712,1.46,mud,NA,8.3157,8.0093,50.067,1.4739,51.351,35.627,1.6,0.02,58.3,1,1
1.725,1.47,mud,NA,10.655,4.7994,44.88,1.4654,47.807,41.748,1.6,0.02,58.3,1,1
1.737,1.49,mud,NA,10.655,4.7994,44.88,1.4654,47.807,41.748,3.8,0.02,59.2,1,1
1.75,1.5,mud,NA,10.655,4.7994,44.88,1.4654,47.807,41.748,3.8,0.02,60.4,1,1
1.762,1.51,mud,NA,10.039,4.9894,47.989,1.5223,49.444,40.599,3.8,0.02,60.4,1,1
1.775,1.52,mud,NA,10.125,4.8023,49.002,1.533,52.376,39.535,3.8,0.02,61.1,1,1
1.787,1.53,mud,NA,7.9284,5.1218,56.054,1.5849,58.791,34.981,3.4,0.02,61.1,1,1
1.8,1.54,mud,NA,7.9284,5.1218,56.054,1.5849,58.791,34.981,3.8,0.021,61.9,1,1
1.812,1.55,mud,NA,9.6924,4.9726,50.436,1.5387,51.906,39.609,3.8,0.021,61.9,1,1
1.825,1.56,mud,NA,9.5976,5.0014,50.645,1.5243,52.804,40.046,3.8,0.021,61.9,1,1
1.837,1.57,mud,NA,9.5976,5.0014,50.645,1.5243,52.804,40.046,3.8,0.021,63.5,1,1
1.85,1.58,mud,NA,10.22,4.89,47.662,1.4629,49.238,41.36,3.4,0.021,63.5,1,1
1.862,1.59,mud,NA,10.22,4.89,47.662,1.4629,49.238,41.36,3.4,0.021,65.4,1,1
1.875,1.6,mud,NA,9.8858,4.9837,50.676,1.4952,50.888,40.766,0.6,0.021,65.4,1,1
1.887,1.61,mud,NA,10.074,5.4341,47.833,1.4352,48.18,41.448,3.4,0.021,67,1,1
1.9,1.62,mud,NA,10.074,5.4341,47.833,1.4352,48.18,41.448,3.4,0.021,67,1,1
1.912,1.63,mud,NA,10.475,5.0024,49.175,1.4247,51.127,41.87,1.6,0.021,68.7,1,1
1.925,1.65,mud,NA,10.258,5.1247,49.589,1.4079,49.026,40.541,3.4,0.021,70.5,1,1
1.937,1.66,mud,NA,10.258,5.1247,49.589,1.4079,49.026,40.541,1.3,0.021,70.5,1,1
1.95,1.67,mud,NA,10.838,5.0177,45.074,1.4149,45.909,42.282,1.3,0.021,72.1,1,1
1.962,1.68,mud,NA,10.838,5.0177,45.074,1.4149,45.909,42.282,1.1,0.021,72.1,1,1
1.975,1.69,mud,NA,9.8499,5.182,47.958,1.3956,47.187,41.075,1.1,0.021,73.5,1,1
1.987,1.7,mud,NA,9.6837,5.3231,50.056,1.4093,48.338,40.344,3.8,0.021,73.5,1,1
2,1.71,mud,NA,9.6837,5.3231,50.056,1.4093,48.338,40.344,3.8,0.021,73.5,1,1
2.012,1.72,mud,NA,9.4428,5.3757,52.38,1.4307,49.442,40.169,4.1,0.02,75.6,1,1
2.025,1.73,mud,NA,9.8216,5.2951,52.127,1.4303,47.512,40.716,1.8,0.02,75.6,1,1
2.037,1.74,mud,NA,9.8216,5.2951,52.127,1.4303,47.512,40.716,1.8,0.02,77.2,1,1
2.05,1.75,mud,NA,9.7237,5.461,52.154,1.3946,46.875,40.602,1,0.02,77.2,1,1
2.062,1.76,mud,NA,9.7237,5.461,52.154,1.3946,46.875,40.602,1,0.02,77.6,1,1
2.075,1.77,mud,NA,10.134,5.45,48.942,1.3958,46.383,41.545,1.9,0.02,77.6,1,1
2.087,1.78,mud,NA,9.8789,5.3438,51.07,1.4342,46.595,40.838,4.2,0.02,77.3,1,1
2.1,1.8,mud,NA,9.8789,5.3438,51.07,1.4342,46.595,40.838,1.9,0.019,77.8,1,1
2.112,1.81,mud,NA,9.9226,5.2537,51.546,1.4212,49.19,40.538,1.9,0.019,77.8,1,1
2.125,1.82,mud,NA,9.945,5.1747,50.792,1.4353,48.176,40.789,4.2,0.019,79.9,1,1
2.137,1.83,mud,NA,9.945,5.1747,50.792,1.4353,48.176,40.789,3.4,0.019,79.9,1,1
2.15,1.84,mud,NA,9.7081,5.0636,48.41,1.4148,49.071,40.508,3.4,0.019,81.2,1,1
2.162,1.85,mud,NA,9.7081,5.0636,48.41,1.4148,49.071,40.508,3.4,0.019,81.2,1,1
2.175,1.86,mud,NA,9.4795,5.0175,51.309,1.4219,49.529,39.528,3.4,0.019,82.9,1,1
2.187,1.87,mud,NA,9.7998,5.0401,47.102,1.4157,45.462,40.517,3.1,0.019,82.9,1,1
2.2,1.88,mud,NA,9.7998,5.0401,47.102,1.4157,45.462,40.517,3.1,0.019,82.9,1,1
2.212,1.89,mud,NA,9.6053,5.0536,47.318,1.435,47.782,40.535,2.7,0.02,83.9,1,1
2.225,1.9,mud,NA,9.2933,4.9387,51.278,1.4988,52.1,39.364,3.4,0.02,83.9,1,1
2.237,1.91,mud,NA,9.2933,4.9387,51.278,1.4988,52.1,39.364,3.4,0.02,82.4,1,1
2.25,1.92,mud,NA,10.084,4.8495,49.335,1.5012,47.91,40.665,3.4,0.02,82.4,1,1
2.262,1.93,mud,NA,10.084,4.8495,49.335,1.5012,47.91,40.665,3.4,0.02,79.6,1,1
